game_id,eventnum,eventmsgtype,eventmsgactiontype,period,wctimestring,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,person1type,player1_id,player1_name,player1_team_id,player1_team_city,player1_team_nickname,player1_team_abbreviation,person2type,player2_id,player2_name,player2_team_id,player2_team_city,player2_team_nickname,player2_team_abbreviation,person3type,player3_id,player3_name,player3_team_id,player3_team_city,player3_team_nickname,player3_team_abbreviation,video_available_flag
0011300072,156,6,4,2,12:08 PM,9:52,,,W. Johnson OFF.Foul (P2),,,5.0,202325,Wesley Johnson,1610612747.0,Los Angeles,Lakers,LAL,4.0,203145,Kent Bazemore,1610612744.0,Golden State,Warriors,GSW,1.0,0,,,,,,0
0021300150,245,4,0,3,8:54 PM,11:25,Evans REBOUND (Off:1 Def:4),,,,,4.0,2501,Reggie Evans,1610612751.0,Brooklyn,Nets,BKN,0.0,0,,,,,,0.0,0,,,,,,0
0020200743,34,2,47,1,10:57 PM,6:27,,,MISS Duncan 6' Turnaround Jump Shot,,,5.0,1495,Tim Duncan,1610612759.0,San Antonio,Spurs,SAS,0.0,0,,,,,,0.0,0,,,,,,0
0029900560,477,8,0,4,2:22 PM,2:45,,,SUB: Johnson FOR Jackson,,,5.0,754,Jim Jackson,1610612737.0,Atlanta,Hawks,ATL,5.0,1533,Anthony Johnson,1610612737.0,Atlanta,Hawks,ATL,0.0,0,,,,,,0
0020100194,108,2,5,1,8:04 PM,1:20,,,MISS Barry  Layup,,,5.0,468,Jon Barry,1610612765.0,Detroit,Pistons,DET,0.0,0,,,,,,0.0,0,,,,,,0
0029600111,424,3,12,4,10:56 PM,0:45,Carr Free Throw 2 of 2 (8 PTS),,,90 - 100,10,4.0,156,Antoine Carr,1610612762.0,Utah,Jazz,UTA,0.0,0,,,,,,0.0,0,,,,,,0
0029600515,325,4,0,4,12:45 PM,11:33,,,Pistons Rebound,,,3.0,1610612765,,,,,,0.0,0,,,,,,0.0,0,,,,,,0
0040300175,394,1,1,4,14:51 PM,6:24,,,Nowitzki 18' Jump Shot (27 PTS),112 - 113,1,5.0,1717,Dirk Nowitzki,1610612742.0,Dallas,Mavericks,DAL,0.0,0,,,,,,0.0,0,,,,,,0
0021301154,456,4,0,4,9:14 PM,3:08,Ginobili REBOUND (Off:0 Def:4),,,,,4.0,1938,Manu Ginobili,1610612759.0,San Antonio,Spurs,SAS,0.0,0,,,,,,0.0,0,,,,,,0
0029900622,119,1,1,1,2:40 PM,1:49,,,Thomas 25' 3PT Jump Shot (8 PTS) (Reid 1 AST),27 - 20,-7,5.0,1501,Tim Thomas,1610612749.0,Milwaukee,Bucks,MIL,5.0,462,J.R. Reid,1610612749.0,Milwaukee,Bucks,MIL,0.0,0,,,,,,0
0020300929,297,4,0,4,9:23 PM,11:33,,,Doleac REBOUND (Off:1 Def:1),,,5.0,1720,Michael Doleac,1610612743.0,Denver,Nuggets,DEN,0.0,0,,,,,,0.0,0,,,,,,0
0020900656,436,6,1,4,11:07 PM,8:13,,,Lopez P.FOUL (P3.T4),,,5.0,201577,Robin Lopez,1610612756.0,Phoenix,Suns,PHX,4.0,200794,Paul Millsap,1610612762.0,Utah,Jazz,UTA,1.0,0,,,,,,0
0021700704,206,4,0,2,7:44 PM,8:49,,,Mirotic REBOUND (Off:0 Def:2),,,5.0,202703,Nikola Mirotic,1610612741.0,Chicago,Bulls,CHI,0.0,0,,,,,,0.0,0,,,,,,1
0020900908,94,8,0,1,9:31 PM,3:28,SUB: Andersen FOR Nene,,,,,4.0,2403,Nene,1610612743.0,Denver,Nuggets,DEN,4.0,2365,Chris Andersen,1610612743.0,Denver,Nuggets,DEN,0.0,0,,,,,,0
0020800766,249,2,1,2,8:49 PM,0:16,,,MISS Kleiza 24' 3PT Jump Shot,,,5.0,101132,Linas Kleiza,1610612743.0,Denver,Nuggets,DEN,0.0,0,,,,,,0.0,0,,,,,,0
0020400671,316,2,1,3,12:46 AM,4:18,MISS Croshere 5' Jump Shot,,Bosh BLOCK (1 BLK),,,4.0,1506,Austin Croshere,1610612754.0,Indiana,Pacers,IND,0.0,0,,,,,,5.0,2547,Chris Bosh,1610612761.0,Toronto,Raptors,TOR,0
0029900308,334,8,0,3,12:49 PM,0:32,SUB: Ellison FOR Battie,,,,,4.0,1499,Tony Battie,1610612738.0,Boston,Celtics,BOS,4.0,442,Pervis Ellison,1610612738.0,Boston,Celtics,BOS,0.0,0,,,,,,0
0021800766,627,2,1,4,10:10 PM,2:14,,,MISS G. Hill 3PT Jump Shot,,,5.0,201588,George Hill,1610612749.0,Milwaukee,Bucks,MIL,0.0,0,,,,,,0.0,0,,,,,,1
0020600882,314,1,42,3,9:29 PM,8:00,,,Webber  Driving Layup (8 PTS),53 - 56,3,5.0,185,Chris Webber,1610612765.0,Detroit,Pistons,DET,0.0,0,,,,,,0.0,0,,,,,,0
0022100736,363,6,1,3,8:28 PM,11:14,,,Joseph P.FOUL (P1.T1) (J.Butler),,,5.0,202709,Cory Joseph,1610612765.0,Detroit,Pistons,DET,4.0,1630591,Jalen Suggs,1610612753.0,Orlando,Magic,ORL,1.0,0,,,,,,1
0029900437,308,4,0,3,1:08 PM,2:31,Rogers REBOUND (Off:2 Def:6),,,,,4.0,435,Carlos Rogers,1610612745.0,Houston,Rockets,HOU,0.0,0,,,,,,0.0,0,,,,,,0
0020200779,2,2,5,1,10:45 PM,11:44,MISS Odom  Layup,,,,,4.0,1885,Lamar Odom,1610612746.0,Los Angeles,Clippers,LAC,0.0,0,,,,,,0.0,0,,,,,,0
0021800727,531,4,0,4,10:25 PM,11:14,,,Kidd-Gilchrist REBOUND (Off:2 Def:2),,,5.0,203077,Michael Kidd-Gilchrist,1610612766.0,Charlotte,Hornets,CHA,0.0,0,,,,,,0.0,0,,,,,,1
0029901058,187,6,2,2,12:24 PM,5:20,Amaechi S.FOUL (P1.PN),,,,,4.0,680,John Amaechi,1610612753.0,Orlando,Magic,ORL,0.0,0,,,,,,0.0,0,,,,,,0
0021600298,281,2,57,3,11:29 PM,10:52,MISS Harkless 5' Driving Hook Shot,,,,,4.0,203090,Maurice Harkless,1610612757.0,Portland,Trail Blazers,POR,0.0,0,,,,,,0.0,0,,,,,,1
0029900748,522,8,0,4,3:17 PM,1:36,SUB: Foyle FOR Dampier,,,,,4.0,956,Erick Dampier,1610612744.0,Golden State,Warriors,GSW,4.0,1502,Adonal Foyle,1610612744.0,Golden State,Warriors,GSW,0.0,0,,,,,,0
0020501057,427,1,1,4,9:18 PM,5:21,Jones 25' 3PT Jump Shot (8 PTS),,,81 - 100,19,4.0,1800,Damon Jones,1610612739.0,Cleveland,Cavaliers,CLE,0.0,0,,,,,,0.0,0,,,,,,0
0022101036,8,4,0,1,7:46 PM,11:43,,,Finney-Smith REBOUND (Off:0 Def:1),,,5.0,1627827,Dorian Finney-Smith,1610612742.0,Dallas,Mavericks,DAL,0.0,0,,,,,,0.0,0,,,,,,1
0029900871,115,2,5,1,12:06 PM,0:17,MISS Williams  Layup,,,,,4.0,966,Jerome Williams,1610612765.0,Detroit,Pistons,DET,0.0,0,,,,,,0.0,0,,,,,,0
0020300912,443,9,1,4,12:30 PM,1:07,NUGGETS Timeout: Regular (Full 5 Short 0),,,,,2.0,1610612743,,,,,,0.0,0,,,,,,0.0,0,,,,,,0
0029700110,428,8,0,4,13:13 PM,0:53,,,SUB: Chapman FOR Robinson,,,5.0,361,Clifford Robinson,1610612756.0,Phoenix,Suns,PHX,5.0,364,Rex Chapman,1610612756.0,Phoenix,Suns,PHX,0.0,0,,,,,,0
0020800090,506,3,11,4,10:14 PM,7:46,MISS Nene Free Throw 1 of 2,,,,,4.0,2403,Nene,1610612743.0,Denver,Nuggets,DEN,0.0,0,,,,,,0.0,0,,,,,,0
0020701022,315,6,2,3,8:58 PM,2:52,Balkman S.FOUL (P3.T3),,,,,4.0,200764,Renaldo Balkman,1610612752.0,New York,Knicks,NYK,5.0,200752,Rudy Gay,1610612763.0,Memphis,Grizzlies,MEM,1.0,0,,,,,,0
0042100176,289,1,79,2,11:05 PM,0:00,Bogdanovic 5' Pullup Jump Shot (10 PTS) (Conley 8 AST),,,41 - 53,12,4.0,202711,Bojan Bogdanovic,1610612762.0,Utah,Jazz,UTA,4.0,201144,Mike Conley,1610612762.0,Utah,Jazz,UTA,0.0,0,,,,,,1
0020900709,19,5,2,1,9:18 PM,9:33,D. Williams Lost Ball Turnover (P2.T2),,Terry STEAL (1 STL),,,4.0,101114,Deron Williams,1610612762.0,Utah,Jazz,UTA,5.0,1891,Jason Terry,1610612742.0,Dallas,Mavericks,DAL,0.0,0,,,,,,0
0021800063,4,10,0,1,7:12 PM,12:00,Jump Ball Drummond vs. Thompson: Tip to Griffin,,,,,4.0,203083,Andre Drummond,1610612765.0,Detroit,Pistons,DET,5.0,202684,Tristan Thompson,1610612739.0,Cleveland,Cavaliers,CLE,4.0,201933,Blake Griffin,1610612765.0,Detroit,Pistons,DET,1
0029800314,4,10,0,1,12:44 PM,12:00,Jump Ball Olajuwon vs. Sabonis: Tip to Dickerson,,,,,4.0,165,Hakeem Olajuwon,1610612745.0,Houston,Rockets,HOU,5.0,717,Arvydas Sabonis,1610612757.0,Portland,Trail Blazers,POR,4.0,1722,Michael Dickerson,1610612745.0,Houston,Rockets,HOU,0
