game_id,foul_team,team_foul_count
29600579,NJN,22
29600714,HOU,22
29600739,CHI,22
29600778,HOU,18
29600800,MIN,20
29600838,NYK,22
29600882,DAL,18
29600901,CHI,27
29600921,CLE,35
29600922,CHH,16
29600928,NJN,21
29600936,SAC,14
29600939,ORL,23
29600965,SEA,19
29601014,LAL,22
29601033,PHI,24
29601063,NYK,23
29601095,POR,24
29601125,WAS,20
29601146,NJN,23
29601155,CHI,26
49600044,UTA,29
29700014,VAN,28
29700004,ATL,27
29700149,DAL,23
29700191,SAC,19
29700248,TOR,23
29700298,SEA,22
29700311,SAC,26
29700317,PHX,34
29700321,CLE,22
29700338,DAL,12
29700344,MIL,24
29700349,CHI,17
29700554,LAC,28
29700575,CHH,17
29700606,WAS,20
29600176,,5
29600471,,2
29600558,,1
29600637,,3
29600670,,1
29600699,,2
49600038,,2
29700149,,1
29700335,,1
29600103,PHX,21
